amountraised,category,currencyused,endDate,numbercontributors,startDate,target,title
892,<h1>Accidents &amp; Disasters</h1>,U.S. Dollar,"Jan 3, 2016",15,"Jan 3, 2016",of $1k goal,Elderly Couple's Home Burned
125,<h1>Accidents &amp; Disasters</h1>,U.S. Dollar,"Jan 10, 2016 at 07:12AM PTJan 10, 2016",2,"Jan 10, 2016",of $3k goal,Abram and Brandy's son Kamren Needs Mom and Dad!
256,"<h1>Animals, Pets &amp; Humane</h1>",Canadian Dollar,"May 23, 2018 at 04:33AM PTMay 6, 2018",6,"May 6, 2018",of $1.9k goal,Support Yeti in Fighting Neurological Disorder
125,<h1>Veterans &amp; Heroes</h1>,Pound Sterling,"Mar 29, 2014",9,"Mar 29, 2014",of £500 goal,Raising funds for D-Day Landings Trip
100,<h1>Travel</h1>,Euro,"Oct 30, 2014",1,"Oct 30, 2014",of €175 goal,By my VW
280,<h1>Sports &amp; Competitions</h1>,Euro,"Apr 10, 2017 at 05:42AM PTSep 7, 2016",6,"Sep 7, 2016",of €10k goal,Help Despina to begin her way to Tokyo 2020
"11,350",<h1>Non-profits &amp; Charity</h1>,Pound Sterling,"Dec 15, 2018
					
				Dec 15, 2018 at 11:59PM PTOct 4, 2018",12,"Oct 4, 2018",of £50k goal,Extinction Rebellion- organising for life on earth
735,<h1>Legal</h1>,U.S. Dollar,"Mar 25, 2017",15,"Mar 25, 2017",of $5k goal,"Need a miracle of 5k, please help!"
"1,785",<h1>Memorials &amp; Funerals</h1>,U.S. Dollar,"Apr 22, 2016",33,"Apr 22, 2016",of $5k goal,Please help us give Joseph Franck a funeral
"3,745","<h1>Health, Illness or Medical</h1>",U.S. Dollar,"Dec 16, 2017",47,"Dec 16, 2017",of $15k goal,Help Christopher Bach Return Home For surgery
240,<h1>Family &amp; Kids</h1>,U.S. Dollar,"Oct 26, 2016",5,"Oct 26, 2016",of $25k goal,Bring Kevin Home to his Family!
701,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Feb 10, 2016 at 02:07PM PTNov 22, 2015",8,"Nov 22, 2015",of $1.6k goal,Kevin McAfee's 2016 Trip to Haiti
"5,110",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Mar 13, 2018 at 11:05AM PTNov 10, 2017",7,"Nov 10, 2017",of $5k goal,Art Day On-The-Go
"1,557",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Aug 2, 2018 at 09:51AM PTJun 7, 2018",25,"Jun 7, 2018",of $5k goal,Help get the 'We The Men' cast to NYC!
468,<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Jul 6, 2018",11,"Jul 6, 2018",of $900 goal,Bricks & Glitter ASL Fundraiser
365,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Jan 2, 2015 at 02:58PM PTDec 20, 2014",17,"Dec 20, 2014",of $500 goal,A SMALL REQUEST FOR A BIG CAUSE!
465,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Feb 21, 2015 at 11:15AM PTOct 10, 2014",19,"Oct 10, 2014",of $10k goal,Worlds Oldest Professional Poker Dealer USA
235,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Dec 23, 2014",7,"Dec 23, 2014",of $1.5k goal,2015 Paramount Chief Adv. Vekuii Rukoro's US Visit
766,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Dec 30, 2014",27,"Dec 30, 2014",of $2k goal,Help Throw a Kick-Ass 50th Birthday for Catherine!
"4,670",<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Jan 1, 2015",58,"Jan 1, 2015",of $5k goal,Support Appreciation Fund Raise
100,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Jan 26, 2015",1,"Jan 26, 2015",of $2k goal,Help Us Have Our Dream Wedding
350,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Nov 23, 2014",3,"Nov 23, 2014",of $3k goal,Steph and I are getting Married
500,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Feb 4, 2015",1,"Feb 4, 2015",of $2k goal,Trip to Mexico
150,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Nov 11, 2015 at 02:49PM PTMar 6, 2014",3,"Mar 6, 2014",of $980 goal,Tasha's Bachelorette Party 2015
500,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Feb 19, 2014",15,"Feb 19, 2014",of $500 goal,Become a Titled Member of the Krewe Of Fools
625,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Aug 11, 2018 at 04:56AM PTJun 27, 2018",7,"Jun 27, 2018",of $1.5k goal,Help Me To Keep  It Up! I Can't Do It Alone! 2018
"2,695",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Jul 10, 2018",12,"Jul 10, 2018",of $25k goal,Pam Larma
325,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"May 1, 2018",9,"May 1, 2018",of $5k goal,Champion of Choice!!!
525,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Jul 13, 2018",9,"Jul 13, 2018",of $1k goal,Run for Something; Refugees Welcome in Boise!
"2,850",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"May 31, 2018",18,"May 31, 2018",of $15k goal,Spreading our Wings! Here we grow again...
566,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Jul 27, 2018 at 07:10AM PTJul 5, 2018",22,"Jul 5, 2018",of $5k goal,Help Bite Squad Feed the Hungry
"15,648",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Jul 30, 2018 at 09:05AM PTApr 24, 2018",52,"Apr 24, 2018",of $25.3k goal,e-Nable in Nepal
"5,690",<h1>Community &amp; Volunteer</h1>,Pound Sterling,"Nov 24, 2014",145,"Nov 24, 2014",of £12k goal,Barakah Food Aid
600,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Jan 17, 2018 at 07:25PM PTJan 15, 2018",1,"Jan 15, 2018",of $600 goal,Visit by Author Neal Shusterman to Aloha HS
"16,630",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Jan 22, 2018 at 01:21AM PTJun 18, 2017",107,"Jun 18, 2017",of $15k goal,The Template Ceremony 3 Post Production
350,<h1>Education &amp; Schools</h1>,Canadian Dollar,"Jan 22, 2018",2,"Jan 22, 2018",of $800 goal,Help give David an education
"1,000",<h1>Education &amp; Schools</h1>,U.S. Dollar,"Jan 25, 2018 at 01:01PM PTNov 16, 2017",3,"Nov 16, 2017",of $1k goal,Help Support Our Student Clubs!
"7,685",<h1>Education &amp; Schools</h1>,Canadian Dollar,"Oct 5, 2017",65,"Oct 5, 2017",of $10k goal,Education Fund for the Children of Rob Donovan
561,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Jan 26, 2018 at 08:37AM PTOct 16, 2017",3,"Oct 16, 2017",of $561 goal,Please help us get our reading on!
870,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Jan 23, 2018",22,"Jan 23, 2018",of $600 goal,Paola's Birthday
379,<h1>Education &amp; Schools</h1>,U.S. Dollar,"Oct 15, 2013",8,"Oct 15, 2013",of $10k goal,Bro. Caleb Brown Jr. Scholarship
"1,161",<h1>Education &amp; Schools</h1>,Euro,"Feb 9, 2018 at 12:07AM PTJan 24, 2018",8,"Jan 24, 2018",of €2.8k goal,Nataliya's tuition for somatic sexology education
200,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Feb 9, 2013",1,"Feb 9, 2013",of $5k goal,Share Your Love This Valentine's Day
100,"<h1>Faith, Missions &amp; Religion</h1>",Canadian Dollar,"Jan 31, 2016",1,"Jan 31, 2016",of $2k goal,Medieval Church Literature Research
100,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Feb 1, 2016",1,"Feb 1, 2016",of $50k goal,Grace Temple Church Flood Recovery Repairs
300,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Feb 1, 2016",2,"Feb 1, 2016",of $4k goal,Send Deannita to Chile
200,"<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Jan 29, 2016",2,"Jan 29, 2016",of $300k goal,Please Help Us Build Bethel UMC Fellowship Hall
180,"<h1>Faith, Missions &amp; Religion</h1>",Canadian Dollar,"Jun 26, 2015",5,"Jun 26, 2015",of $20k goal,We Need Your Help To Spread Gospel Beyond Boarders
"4,915","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Feb 17, 2016 at 06:58AM PTOct 8, 2015",5,"Oct 8, 2015",of $5.5k goal,THE LAMP of Liberty Parkway
"1,805","<h1>Faith, Missions &amp; Religion</h1>",Euro,"Aug 31, 2015",24,"Aug 31, 2015",of €3k goal,Live Like a Monk for 49 Days
"1,784","<h1>Faith, Missions &amp; Religion</h1>",U.S. Dollar,"Nov 30, 2016 at 09:27AM PTFeb 17, 2016",13,"Feb 17, 2016",of $2k goal,Whatever Girls Non-Profit Investment Campaign
"1,458",<h1>Family &amp; Kids</h1>,Euro,"Aug 19, 2016",53,"Aug 19, 2016",of €6k goal,Gabi's fond
"9,190",<h1>Family &amp; Kids</h1>,U.S. Dollar,"Dec 3, 2016 at 09:34PM PTSep 1, 2016",57,"Sep 1, 2016",of $50k goal,Officer Down!!!!
"5,200",<h1>Family &amp; Kids</h1>,U.S. Dollar,"Sep 9, 2016",17,"Sep 9, 2016",of $100k goal,"Help Wronged Mom, Jill Seminaris!"
"1,490",<h1>Family &amp; Kids</h1>,U.S. Dollar,"Oct 17, 2016",24,"Oct 17, 2016",of $10k goal,Let's show what friends are for .
100,<h1>Family &amp; Kids</h1>,U.S. Dollar,"Nov 1, 2016",1,"Nov 1, 2016",of $5k goal,Send a native to Standing Rock!
675,<h1>Family &amp; Kids</h1>,U.S. Dollar,"Dec 5, 2017 at 11:26AM PTAug 4, 2016",4,"Aug 4, 2016",of $1.5k goal,Kid's summer lessons
200,<h1>Family &amp; Kids</h1>,Pound Sterling,"Dec 13, 2016 at 12:42PM PTOct 27, 2016",4,"Oct 27, 2016",of £200 goal,Jane's 60th Birthday Present
"1,430",<h1>Family &amp; Kids</h1>,U.S. Dollar,"Sep 21, 2016",13,"Sep 21, 2016",of $2.5k goal,Patriot Santa Project
"4,625",<h1>Family &amp; Kids</h1>,U.S. Dollar,"Dec 3, 2016 at 06:47PM PTNov 2, 2016",170,"Nov 2, 2016",of $2k goal,MKB 3rd Annual Adopt-a-Family
355,<h1>Family &amp; Kids</h1>,U.S. Dollar,"Oct 19, 2016",7,"Oct 19, 2016",of $15k goal,Help Me Help My Son :)
200,"<h1>Health, Illness or Medical</h1>",U.S. Dollar,"Dec 28, 2017",5,"Dec 28, 2017",of $550 goal,..so that Judy A. son can see the world in colors.
190,"<h1>Health, Illness or Medical</h1>",U.S. Dollar,"Mar 4, 2018",5,"Mar 4, 2018",of $349 goal,Help me get See Color
375,"<h1>Health, Illness or Medical</h1>",U.S. Dollar,"Apr 17, 2018 at 04:38AM PTApr 4, 2018",10,"Apr 4, 2018",of $395 goal,Please Help My Student See Life In Color!
170,"<h1>Health, Illness or Medical</h1>",U.S. Dollar,"Apr 4, 2018",3,"Apr 4, 2018",of $400 goal,Help me see color for the first time!
"1,328","<h1>Health, Illness or Medical</h1>",U.S. Dollar,"Oct 18, 2017",49,"Oct 18, 2017",of $10k goal,Help a disabled nun get a new boiler
349,"<h1>Health, Illness or Medical</h1>",U.S. Dollar,"Mar 29, 2018",6,"Mar 29, 2018",of $349 goal,"Help Adam ""See Normal"" for His Birthday"
"11,225","<h1>Health, Illness or Medical</h1>",U.S. Dollar,"Oct 17, 2016",88,"Oct 17, 2016",of $2.5k goal,Helping Jacob ~ Ewing's Sarcoma Sucks!
350,"<h1>Health, Illness or Medical</h1>",Pound Sterling,"Apr 18, 2018 at 11:49PM PTApr 9, 2018",18,"Apr 9, 2018",of £350 goal,Let's surprise my father with Enchroma!
125,"<h1>Health, Illness or Medical</h1>",U.S. Dollar,"Nov 26, 2017",4,"Nov 26, 2017",of $700 goal,Help my kids see the beautiful world!!!
560,"<h1>Health, Illness or Medical</h1>",U.S. Dollar,"May 2, 2018 at 07:23AM PTMar 23, 2018",10,"Mar 23, 2018",of $600 goal,Help me get Enchroma glasses  for Mike. Thank you.
395,"<h1>Health, Illness or Medical</h1>",U.S. Dollar,"Aug 23, 2018 at 11:50AM PTApr 11, 2018",5,"Apr 11, 2018",of $349 goal,Help me give my son the gift of color
300,<h1>Memorials &amp; Funerals</h1>,U.S. Dollar,"Apr 25, 2016",5,"Apr 25, 2016",of $8k goal,My FATHERS FUNERAL FUND please help!
"5,470",<h1>Memorials &amp; Funerals</h1>,U.S. Dollar,"Apr 24, 2016",33,"Apr 24, 2016",of $20k goal,The Rudy Flores Memorial Fund
350,<h1>Memorials &amp; Funerals</h1>,Pound Sterling,"Nov 13, 2015",6,"Nov 13, 2015",of £2.5k goal,Dionté-James sleeping angel
"1,225",<h1>Memorials &amp; Funerals</h1>,Pound Sterling,"May 6, 2014",40,"May 6, 2014",of £2.4k goal,Create a lasting memorial for John Watson.
